ID,abbreviation,question,categories
312,Immunisation radio advert,"Have you heard any immunisation adverts on the radio? Yes or No. If yes, please give us the name of the radio station","yes,no,unknown"
313,FHD - HIV/AIDS + immunisation,FHDs r back in Kaabong! Go to ur local mosque to get free HIV/AIDS tests for mothers & free immunisation for children.SMS if u have any questions.Eid Mubarak,""
305,Marburg Outbreak,"There has been a small outbreak of Marburg virus in Kabale, it is like Ebola. Would u like more information about it? Yes/No","no,unknown,yes"
309,Group 1: Results MDG,"Over 7,000 U-reporters told us that the most important problems they need solved are more job opportunities, better education & better health.",""
310,Group 2 Results: Post MDG,"Over 7,000 U-reporters say that governments must be more accountable, we need more jobs and better education to make the world a better place in next 10 years",""
308,Marburg Transmission,"To protect yourself from Marburg avoid contact with wounds, blood, saliva, vomit, urine or poo poo from infected people as this is how it spreads.",""
311,Marburg Prevention,To prevent the disease report suspected patients to a health unit. Avoid contact with anyone suffering from Marburg even when dead. Avoid public gatherings.,""
306,Marburg: Status,Status: So far 4 people have died of Marburg in Kabale and WHO and Ministry of Health is already in the area containing the virus,"yes,no,unknown"
307,Marburg Symptoms,"Dear Kabale U-reporters.Marburg symptoms include high fever, headache, vomiting blood, bleeding thru body openings like eyes,mouth, nose, ears, anus.",""
314,#1 Premature births,Have you heard of children being born before they were supposed to?Please answer Yes/No.,"yes,no,unknown"
317,Marburg  prevention # Ibanda,To prevent Marburg AVOID CONTACT with wild animals including bats & monkeys. Do not eat monkey meat.,"yes,no,unknown"
465,United Nations RC - Test Msg,Dear UN staff.This is the Res Rep.I'd like to improve communication with all UN staff in Uganda via SMS.What topics would u like to discuss in coming months?,""
464,FHD mobilisation,"U-reporter, Family Health Days is ongoing in ur district today & Sunday. Take ur child and get free health services such as vaccination and birth registration.",""
318,Marburg  Outbreak # Mbarara,"There is an outbreak of Marburg virus in Kabale, Ibanda and Mbarara. Its like Ebola.U-reporters requested more information so we are updating u","yes,no,unknown"
466,Vaccination results,"U-reporter in Manafwa asked, ""Should the government punish parents who do not take their children for immunistion? YES or NO and WHY?”","yes,no,unknown"
503,Mild may - HIV/AIDS poll,"Hi U-reporters, why do you think most youth in Uganda fear to have an HIV/AIDS test?","Stigma,Psycological Stress,Fear of the outcome,Ignorance,Already tested  & aware of the status,Other"
523,WB-UPPET students,"Hello U-reporter! Have you used any textbooks in class in the last 5 days?  Please reply with Yes or No 
","yes,no,unknown"
322,Marburg  Outbreak status# Kb're,So far 9 people have died of Marburg from Kabale (6) and Ibanda (2). WHO and Ministry of Health is working to stop the virus.,""
321,Marburg  Outbreak # Kabalore,"There is an outbreak of Marburg virus in Kabale,Ibanda and Mbarara.Its like Ebola.U-reporters requested more information so we are updating u","yes,no,unknown"
319,Marburg  Outbreak status# Mb'ra,So far 9 people have died of Marburg from Kabale (6) and Ibanda (2). WHO and Ministry of Health is working to stop the virus.,"yes,no,unknown"
122,contactdistrict,Its important to know which District you'll be reporting on so we can work together to try & resolve issues in your community!Reply ONLY with your district.,""
123,contactname,"Best responses may be shared!Send us your name,or if you prefer a nickname so we can give u recognition for good replies by sharing them in the media!",""
124,contactage,What is your age?,""
125,contactgender,"Are you male or female?  Type F for female, and M for Male","female,male"
126,contactvillage,Which village in the district will you be reporting from? Please respond ONLY with the name of your village.,""
230,blacklist,Your UReport opt out is confirmed.Please dont forget to tell us the reason for quitting.you can always text join to reactivate.,""
326,Marburg prevention #3,To prevent the disease report suspected patients to a health unit. Avoid contact with anyone suffering from Marburg even when dead. Avoid public gatherings.,""
323,Marburg  prevention # Kb're,To prevent Marburg AVOID CONTACT with wild animals including bats & monkeys. Do not eat monkey meat.,""
324,Marburg Symptoms #2,"Marburg symptoms include high fever headache, vomiting blood, bleeding thru body openings like eyes,mouth, nose, ears, anus.",""
325,Marburg prevention #2,"To protect yourself from Marburg avoid contact with wounds, blood, saliva, vomit, urine or poo poo from infected people as this is how it spreads.",""
345,Child Sacrifice - Qn two,37% have heard of a child sacrifice. Do you believe that using body parts in traditional medicine and ceremonies for good health & wealth actually works?,"Yes,other,No"
334,#3 Premature births,"If a baby is born 3 or more weeks early put the baby on the skin on ur chest, wrap the baby to keep it warm and take it to a health center for checkup. ",""
331,#2 Premature births,83% said they have heard of a child born early. A premature birth is when a baby is born 3 or more weeks early. Reply with Care 4 Babies to get more info.,""
335,Codes Kimi Workshop,CODES ekulamusiza nate! Wetaba mu kunyumyako okubaddewo mu Kimi wiki eno ewedde. Olina gwoyogedeko naye ensonga ekibinjakyo zekyasalawo? Damu Y- Yee; N- Nedda,""
336,Codes Wakiso,CODES ekulamusiza nate! Wetaba mu kunyumyako okubaddewo mu Kimi wiki eno ewedde. Olina gwoyogedeko naye ensonga ekibinjakyo zekyasalawo? Damu Y- Yee; N- Nedda ,""
341,Good Luck - Exams,"""Wishing all S6 U-Reporters success in our exams. May God bless us all."" from Olegi Godfrey, Kinyara S S Masindi.",""
347,Codes Kimi #2,"Tukulamusiza okuva mu CODES!  Olina kyona kyokozze okuteeka munkola ensonga ekibinjakyo zekyasalawo? Damu Y-Yee; N -Nedda.Singa yee, kiki kyokozzewo?",""
344,CAO Q1 reports,Dear CAO.Have u provided your Accountability Form for 1st Quarter funds?Answer YES or NO and your DISTRICT. From Ministry of Local Government with U-report.,"yes,no,unknown"
348,CODES - Wakiso #2,"Tukulamusiza okuva mu CODES!  Olina kyona kyokozze okuteeka munkola ensonga ekibinjakyo zekyasalawo? Damu Y-Yee; N -Nedda.Singa yee, kiki kyokozzewo?",""
351,Ebola Update - Koboko District,We wld like to thank the 3 U-reporters of Koboko that reported a death this week.We contacted Min of Health.They confirm this person did NOT have ebola.U r safe,""
349,MP UPFC Intro,"Honourable, we the Uganda Parliamentary Forum for Children will send u texts to understand what u need for children in ur constituencies.Mutyabule,Woman MP",""
346,"HIV/AIDS, West Nile Qn","U-reporters of West Nile, what can be done to help people living with HIV/AIDS in the West Nile Region? From Hon. Oleru Huda MP Yumbe & Hon. Auru Anne, MP Moyo.","Provide free condoms,Promote faithfulness and Abstinence  ,Improve awareness of HIV/AIDS,Provide more drugs,Avail more health centres and staff,Provide counseling,Improve community support & attitudes,Safe male circumcision  "
353,MP - Children's Act (YES),From UPFC: Thank you for your support! Please advocate with colleagues and come to UPFC for more info. We'll let you know when bill is coming to the floor.,""
350,MP - Children's Act,"Dear Honourable, the Children Act amendment is coming to Parliament.  Will you vote to pass it? Please reply with YES, NO, or Not Sure. Message from UPFC","Yes,No,Undecided"
354,MP - Children's Act (NO),From UPFC: Thanks for responding! The amendment will protect kids from abuse and trafficking. UPFC will invite you to a workshop on the Act this Thursday.,""
355,Child Sacrifice 2 - Results,"Stella fm Wakiso says: Using body parts 2 accumulate wealth is a barbaric act. Never have I ever believed tht it cn make 1 rich, it only increases loss of lives",""
352,MP - Children's Act Follow up,Msg from Hon. Mutyabule: We haven't heard from you on the Children Act. Will u vote for it or do u need more info? Thank you!,"yes,no,unknown"
468,CODES-Butenga,CODES ekulamusiza ko! Twanyumizako wamu e Butenga omwezi gwokubiiri. Mweyama okuteesa ku kifo ky'eddwaliro nga Febwali 18. Mwatuza olukiiko? Damu Y-Yee N-Nedda ,"yes,no,unknown"
356,HIV/AIDS advise #1,"Hi U-reporters! What advice can you give students to avoid spread of HIV/AIDS in this long term holidays? U-reporter,19, Gulu","Faithfulness,Safe Male Circumcision,Use Condom,ABC strategy,Abstinence,Being Engaged in Productive Activities,Resist Social Peer Influence,Other"
371,New year msg,"Hi U-reporter! Thank you for your continued engagement throughout 2012, we look forward to more a fulfilling 2013. Wishing you the very best of the year ahead.",""
357,HIV/AIDS advise #2,"""Students should avoid involvement in unprotected sex, use condoms in case of sexual desire & should stick 2 to one partner."" Okecha Wilfred, 19yrs, Nebbi",""
504,CODES NAGOJJE,CODES ekulamusiza ko! Twanyumyako wamu e Nagojje Zone R omwaka oguyiise. Mwemulugunya ebula lye ddagala ku ddwaliro e Nagojje. Kati mulifuna? Damu Y-Yee;N-Nedda,"yes,no,unknown"
364,MP - AIDS in Paper,"Thank u to MPs who texted advice abt HIV/AIDS.Hon Joy Atim,Amos, Khainza,Milton,Auru & Grace ur answers r in New Vision tomorrow 12th Dec. From UPFC & U-report ",""
359,MP- Water poll results,"Honourable.Latest poll results show Iganga have the most functional water points;Bushenyi averaged with 56%,Hoima has least with 43%.All texts to 8500 are free",""
378,District information,"Please can you let us know your district, this is so we can let you know when free services come there. Please reply with DISTRICT name only. 
",""
365,Newspaper pullout,"Hi, see pages 16 & 17 of the New Vision today (Dec 12th) See MPs respond 2 your questions about HIV/AIDS. If u cannot afford a newspaper try & read a friend's",""
374,Drug Abuse - Young People,"Dear U-reporters, How can the problem of drug abuse among the youth of today be overcome? from Joseph M'kongoro in Kumi District","Sensitization,Social Support,Enact or Enforce Law,Engagement in Productive Activities,Provide Employment Opportunities,Other"
368,Peacebuilding follow up question,Do you think this effort has been a help to you community Yes/No and why?,"yes,no,unknown"
369,"CODES, Naggojje","CODES ekulamusiza! Wetaba mu kunyumyako e Nagojje omwezi oguwedde. Mulongosa ekyalo buli lwamukaga? Damu Y - Yee;
 N - Nedda","yes,no,unknown"
370,Christmas message,"""I would like 2 wish a merry Xmas 2 my fellow youth & all the U-reporters across the country. Enjoy da day bt take care of ur life."" Akello Fiona  from Gulu",""
375,Drug Abuse - poll results,"Sarah says ""1st step: parents to educate children about da dangers of drug abuse n also to lead by example since da youth imitate wat dey see dem doing""",""
510,"FHD-KLA, KBL, KL",Go for FHDs today and get FREE vaccination & birth certificates for children under 5 years at your local mosque. SMS questions to 8500 & we will answer!,""
376,Health care ,"Hi U-reporter, is the service at your nearest Health centre a) Bad b) Fair c) Good. Include HEALTH CENTRE NAME in your reply.","Other,Bad,Fair,Good"
377,Health care results,25% of U-reporters say service at their local health centre is bad. We shall share this with Ministry of Health and ask for a response. I will update you,""
381,FHD awareness-Jan,Have you heard of Family Health Days (FHDs) YES or NO? Respond to find out about free health services in your district.,"unknown,yes,no"
383,FHD reminder ,"U-reporters in GULU, SMS us between 10am & 4pm today if u have qns about Family Health Days or if you are having trouble getting the free services. ",""
366,Peacebuilding Question,Are you aware of any peace building efforts taking place in your community Yes/No and what is the name of the project?,"yes,unknown,No"
382,FHD-reminder ,"FREE vaccinations, birth certificates, antenatal care will be provided on the Family Health Days at mosques & churches on Friday & Sunday by Ministry of Health.",""
390,MOE support,"Do you want to know how to get UCE results for yourself or a child? Respond with YES or NO, From Ministry of Education","unknown,yes,no"
386,FGM - Zero Tolerance,"Feb 6th is International Day of Zero Tolerance to FGM, do you want to stop female genital mutilation in your community? Answer YES or NO and why.","yes,no,unknown"
391,FGM results,"75% say NO to FGM. Arnold says,  ""I AM SABINY BY TRIBE.. I VALUE OUR CULTURE. HOWEVER, FGM DOESN'T MAKE SENSE. IT IS INSANE, ADDS NO VALUE & TAKES AWAY DIGNITY""",""
471,World Bank poll 1,"Dear U-reporter, do you have a child or are you yourself attending secondary school? If YES, kindly reply with the full name of the school.","yes,no,unknown"
473,U-report at 200k,"Congratulations to you all! We are now 200,000+ U-reporters strong today. Many thanks to you for your continued participation and feedback. Your voice matters.",""
472,MP WORSHOP2  DEMO results,Thank you Hon MPs for participating in the demonstration poll conducted last Saturday during the orientation workshop held in Entebbe. Message from UPFC,""
470,MP WORSHOP2  DEMO,From Hon. Nalubega Mariam: Are MPs in the 9th parliament concerned about rights and general issues concerning children in Uganda? Yes or No,"yes,no,Other"
476,CODES Bukango,CODES ekulamusiza ko! Twanyumizako wamu kusomero e Kyaziza omwezi gwokubiiri. Mweyama n'abasawo ekifo kyo kugemeramu e Bukango. Mwakikola? Damu Y-Yee; N-Nedda,"yes,no,unknown"
469,Vaccination results 2,"Altho 72% say NO, U-reporter in Serere says; “No, some parents are only ignorant while in some places immunisation centres are too far with irregular schedules”",""
480,PBEA-youth results,"Over 20,000 U-reporters say school dropout is due to lack of fees, early marriage, pregnancy & domestic violence; what can be done to reduce number of dropouts?","Government Policy on Education,Sensitization,Student Loans Scheme,Inclusion of Sex Education,Free Education,Promote Girl Child Education,Economic Empowerment,Ratify Parental Role in Education,Other,Scholarships"
475,Family meals,"Do you have meals together with your family, Yes or No and why? From Hon. Ayoo Tonny MP, Apac","yes,no,unknown"
479,PBEA-youth,"Dear U-reporters, Why do you think youth in your community drop out of school? ","Financial Constraints,Peer Influence,Influence of Drugs,Child Abuse & Early Marriages,Long Distance to School,Parental Negligence,Corporal Punishment,Escalating Levels of Unemployment,Other"
496,"World bank, Sch","Hello U-reporter, you've been selected to be one of our special reporters on Education. Tell us if you are Parent/guardian, Student, Teacher or Other. Thank you","Parent,Student,Teacher,Other"
502,Promotional poll results,Thanks 4 telling ur friends & relatives about U-report. DONALD AYEBARE from Kanungu says he likes U-report becoz it keeps him updated & able to share his views,""
392,Germany,"Jennifer from Gulu says, ""I was happy to travel to Germany to speak about the quality of education in Uganda and meet the First Lady, am proud 2b a U-reporter.""",""
526,WB UPPET students 2,Hello U-reporter! Have you used any textbooks in class in the last 5 days? Please reply with Yes or No ,"yes,no,unknown"
486,CODES-MukonoTC,CODES ekulamusiza ko! Twanyumyako mu sebutemba y’omwaka oguwedde ku Sam’s Inn e Mukono. Mweyama okutumbula obuyonjo. Embeera ekyuseko? Damu Y-Yee; N-Nedda ,"yes,no,unknown"
478,MP WORSHOP 3  DEMO ,"Do you consider Early Childhood Development in our education system necessary, YES or NO? From Hon. Baba Diri, Koboko","Other,No,Yes"
477,Family meals results,"63% of U-reporters have meals together as a family. U-reporter in ARUA says, ""YES. It shows unity, solidarity and harmony in community among families""",""
474,CODES Kyango,CODES ekulamusiza ko! Twanyumizako wamu kusomero e Kyango omwezi gwokubiiri. Mweyama okusaba e kifo ky'eddwaliro Febulwali 28. Mwawandika? Damu Y-Yee; N-Nedda,"No,Other,Yes"
489,PBEA-Safe,"U-reporter, do you think school buildings in your community will be safer for children in the next 5 years? Please reply with: Yes or No and why","yes,no,unknown"
495,CODES Buwambo,CODES ekulamusiza ko! Twanyumyako wamu e Buwambo omwezi gw'okuminagumu. Mweyama okutumbula obuyonjo nenkolagana n'abasawo. Embeera ekyuseko? Damu Y-Yee; N-Nedda,"yes,no,unknown"
483,PBEA-youth results 2,"U-reporter in Bukedea says, ""Career guidance in schools, mass community  sensitisation about good of Education..."" will reduce the number of school dropouts.   ",""
488,World environment day,"What measures are you taking or planning to take to protect the environment around you in memory of the world environment day (June 5)? U-reporter, Mbale",""
490,CODES Buziika,"CODES ekulamusiza ko! Twanyumyako wamu mu mwezi gwa januari, nemwemulugunya ebula lye ddagala ku dwaliro lye Buziika. Embeera ekyuseko?  Damu Y-Yee; N-Nedda","yes,no,unknown"
492,UN staff - RC office,Do you believe the work of the UN is relevant to Uganda’s development situation? Please rate on a scale of 1-5 with 5 being fully relevant. From UN RC’s office,"1,2,Other,3,4,5"
491,PBEA-Safe results + poll,46% of U-reporters said school buildings in their community won't be safe 5 yrs frm now. What can the community do to improve the safety of school buildings?,""
487,CODES KIMI 2,CODES ekulamusizako! Twanyumyako wamu omwezi gw'okitoba omwaka oguwedde. Mweyama okusaawo eddwaliro ku kizinga. Eddwaliro litambula bulungi? Damu Y-Yee; N-Nedda,"yes,no,unknown"
494,Child marriage,"Hello U-reporter! Do you know of any child (below 18 yrs) marriages in the community you live in, Yes or No and if Yes how many?","yes,no,unknown"
532,Breastfeeding 2,Breast milk is the best food for babies even though the mother is HIV +ve. The baby has 2 be breastfed the first 6 months. From Ministry of Health ,""
538,MICS POLL 2,"UNICEF will do a volunteer survey in Sept. If u want 2 take part, reply with ONLY name of the village where you currently stay. Reply even if u replied earlier.",""
497,Child marriage results,"52% of U-reporters know of child marriages in their communities. U-reporter says, ""in Manafwa district most girls are getting married at the age of 15 & 16..."" ",""
531,WB UPPET students poll 2,Hello U-reporter! Have you borrowed any textbooks from school to be used at home in the last 5 days? Please reply with Yes or No,"no,unknown,yes"
507,FHD- Kla prelaunch,Have you heard of  &quot;Family Health Days (FHDs)&quot; YES or NO? Respond to find out about free health services in your Kampala.,"yes,no,unknown"
513,Peace Building,"Is there any conflict in your community currently? If yes, what is it about? a) land issues, b) alcohol c) violent behavior d) other?","Land Issue,Alcohol,Violent behavior,Other"
549,Eid-el-Fitr msg,Happy Eid-el-Fitr U-reporters!,""
530,MICS 100,"March ths year, u showed interest in participating in a village-level volunteer program. Are u still interested? If Yes wld u like UNICEF 2contact u, Ans YES/NO","yes,no,unknown"
527,CODES Kinyoro Lugazi TC,CODES ekulamusiza nate! Twanyumyako wamu mu Kinyoro omwaka nga gutandika. Abantu beyongedde abetaba n'akakiiko ka CODES mu Bulungi Bwansi? Damu Y-Yee; N-Nedda,"yes,no,unknown"
363,DOHA: COP 18 Outcome,COP 18:Main outcome of the climate talks is money will be given to developing nations to help fight the effects of climate change.  ,""
529,WB UPPET teachers 2,Hello U-reporter! Have you assigned any homework/tests using textbooks to students in the last 5 days? Please reply with Yes or No,"yes,no,unknown"
362,DOHA -Results,U-reporters say women are affected most by climate change bc they fetch firewood & water.31% disagree & say men r impacted more as they provide 4 entire home,""
528,WB-uppet parents 2 ,The school where your child studies received science kits/tools. Has your child used a science kit/tool in the last term? Please ask him/her & reply with Yes/No,"yes,no,unknown"
570,manup,Describe the man you wish you could be. What characteristics does he have?,""
426,FGM MP Results,"To stop FGM Hon. Nsubuga Mathias says ""Sensitization of the community is the best option. As an MP we passed the law in the 8th parliament against it.""",""
437,Koboko - MP meeting,U reporters in Koboko.Please register children with disabilities in your area and try to meet Hon. Baba Diri on 16th March 2013 at her office.Will u go Yes/No?,"yes,no,unknown"
438,Results -Water Poll ,"35% of U-reporters did not report to authorities broken water points. Always report to a hand pump mechanic, the district water office or sub-county official.",""
514,CODES MENDE,CODES eddamu okulamusako! Twanyumyako wamu e Mende omwaka oguwedde. Mwakubira gavumenti omulanga ku 8200 olwa abasawo abatono ku ddwaliro? Damu Y-Yee; N-Nedda,"yes,no,unknown"
427,"MOES support, UACE","If  you want to get UACE results for yourself or a child by SMS, type; UACE<leave a space>Index Number, and send to 6600. Every message costs 500 shillings. ",""
424,Mildmay HIV - Wakiso/Kampala,"Get free ARVs if u have been defiled or raped to prevent HIV, Monday to Friday 8am to 4pm at Mildmay Centre, Lweza on Entebbe Road by Fuelex petrol station.",""
428,Women's Day#1,"8th March is Women’s day. What more can the Government do 2 enable girls & women realize their dreams & contribute to their family, community & national growth?",""
445,Marriage & Divorce bill,Many U-reporters are talking about the Marriage and Divorce Bill. Are you; a) In Support of it b) Against it c) Not aware of it/Not sure ,"Other,Against,Not aware/sure,In support"
418,SIM reg,"Hi U-reporter, have you registered your SIM card yet? Reply with YES or NO. If no tell us why you have not registered?","unknown,yes,no"
421,Sim reg results,Most U-reporters have registered their SIM. Dial *197# to check your registration status. SIM card registration is FREE of charge so don't let pple charge u,""
419,CODES-Lugazi,Tukulamusiza okuva mu CODES! Wetaba mu kunyumyako okwaliwo mu Kinyoro. Wetaba mu Bulungi Bwansi wokuyonja Lugazi guno owenzi nga 14? Damu Y- Yee; N- Nedda,"yes,no,unknown"
422,"Girl, guides ","Today is Thinking Day; the theme for this year is ""Healthy Life for Every Mother and Child"", This message is from Uganda Girl Guides Association.   ",""
429,Village Info ,"UNICEF is considering a village level volunteer program, please let us know name of the village where you currently stay. Reply with your VILLAGE name only.",""
431,WASH poll,"If you get water from a well, borehole or community tap, is it working today? YES or NO and include village name.","other,No,Yes"
434,Int Women Day,"Uganda celebrates Women's Day in Nakasongola.Theme is; ""The Gender Agenda: Connecting Grassroot Women to Development"".Msg from Min of Gender Labor & Social Dev","Education,Health,Other"
433,WASH poll 2,"Did you report the water problem to a hand pump mechanic, a district water office or sub-county officials? YES or NO?","yes,no,unknown"
435,Water Poll 3 -YES ,Why was the broken water point not repaired after you reported it?,""
436,Water Poll 3 -NO,Why was the broken water point not reported?,""
439,Disability Poll ,"Hi U-reporter, Do you know of children (1-18yrs) in your village who are living with disabilities? Message From Hon Baba Diri. Reply with YES/NO.","yes,no,unknown"
442,Banana wilt,Do you know any farmers whose banana plantations or crops are infected with banana bacterial wilt disease? YES or NO,"Other,No,Yes"
441,Disability Poll 2 ,77% of U-reporters said they know of children living with disabilities. How many of them do you know? Please reply with number and name of district.,"None,One - Ten,Eleven - One hundred,Over 100,Other"
430,CODES-Ssi Bukunja,CODES ekulamusiza nate! Wetaba mu kunyumyako e Ssi Bukunja omwezi gwa Decemba ewedde. Wawayo obuyambi bwo okufuna ekifo kye ddwaliro e ssi? Damu Y-Yee; N-Nedda ,"YES,NO,OTHER"
420,MPs on FGM,"Dear Honourable. U-reporters say that FGM should stop,as an MP how can you help to stop female gentile mutilation?",""
443,Banana wilt 2,"55% of U-reporters know plantations with Banana Bacteria wilt. It attacks matooke, ripens bunches prematurely, dries malebud. SMS BBW for more info. ",""
444,PCV - Immunisation,"Min. of Health has a new, free vaccine called ""PCV"" for pneumonia for children under 1 year old beginning today. Have u heard of this vaccine? Yes or No","yes,no,unknown"
447,Marriage & divorce bill results,"60% of U-reporters are against the Marriage and Divorce Bill, 14% are in support of it and 18% are not sure/aware of it.",""
448,VAC #1,Are you or is a friend of yours currently going to secondary school? YES or NO,"yes,no,Other"
452,VAC #1-YES,"Have you/your friend been beaten by a teacher at school in the past month, Yes or No and if Yes, then why?","Other,No,Yes"
453,CODES-Kyanamukaka,CODES ekulamusiza nate! Wetaba mu kunyumyako e Kyanamukaka omwezi gw’ogwokubiiri. Mweyama okutekawo emisomo egy'okugema abaana. Mwatandiika? Damu Y-Yee; N-Nedda,"yes,no,unknown"
500,Promotional poll,"More U-reporters means a stronger voice. Have you told your friends and family about U-report in the past two weeks, YES/NO and why?","yes,no,unknown"
454,VAC #1-YES results,41% said they had been beaten at school. Children beaten are likely to harm others. It reduces their participation in class and contributes to poor performance.,""
456,CODES-Bukakata,CODES ekulamusiza nate! Twanyumyako nawe e Bukakata mu gw'ogwokubiiri. Mweyama okugogola ekyalo buli lwamukaga olusemba mumwezi? Mwatandika Damu Y–Yee; N-Nedda,"No,Others,Yes"
457,MP demo qn,"Honorable, do you have a birth certificate? Yes or No","No,Yes,Other"
509,Mild may - HIV/AIDS results,"U-reporters say ""Youth fear 2 be ashamed & abandoned by relatives & society after testing HIV positive"". Knowing ur status reduces more infections & saves lives",""
455,Topic suggestion,"Dear U-reporters, what topics would you want to be discussed by U-report this month?","Education,Employment,Environmental & Agriculture,Family and relationships,Violence against children & women,Health nutrition & Sanitaion,Reproductive Health ,Vision 2040,Accountability & Transparency,Social Norms,OVC,Energy,Other"
461,Vaccination,"This week is Africa vaccination week. Do you think immunisation is important to your children's health, Yes or No?
","yes,no,unknown"
512,"FHD-KLA, KBL, KL #2",Go for Family Health Days today & get FREE vaccination & birth certificates for children under 5 years at ur local church. SMS qns to 8500 & we will answer!,""
462,CODES-Nyendo,CODES ekulamusiza nate! Wetaba mu kunyumyako e Nyendo mu mwezi gw’okubiiri. Mweyama okukola bulungi bwansi buli lwa mukaga Mwatandika? Damu Y-Yee; N-Nedda,"No,Yes,Other"
508,CODES Busii,CODES ekulamusiza ko! Twanyumyako wamu e Busii omwaka oguwedde. Twawuliira mwemulugunya akakiiko kemwalonda. Mwalonda omukulembezze omugya? Damu Y-Yee; N-Nedda,"yes,no,unknown"
361,DOHA Qn 2,"
Should the government make climate change challenges and issues part of all office departments in and outside government? Reply with Yes or No and Why?","yes,no,unknown"
358,Doha conference notification,"COP 18 is an international conference on climate change. Make ur voice heard! Results of qns beginning “COP18” will be sent 2 a U-reporter rep in Doha,Qatar",""
515,Malala poll,July 12th is 'Malala day'. Malala from Pakistan will be speaking at the UN advocating for global education. What is the importance of education to you?,""
360,DOHA Qn 1,"COP 18: Who do you think climate change affects most, please answer with MEN or WOMEN & give reason why?","MEN,OTHERS,WOMEN,ALL EQUALLY"
519,Peace Building Followup,"Who do you think should be responsible for solving community conflicts?. a) Community leaders,
b) Police,  c) Local government. IF other, please specify?
","Community Leaders,Local Government,Police,Other"
458,Topic suggestion results,"U-reporters in East, West & Central Uganda want 2 discuss vision 2040. What responsibility do u as a youth have to take for the country to realize this vision?","Education for all,Employment opportunities,Environmental protection & agriculture,Health, sanitation & nutrition,Ensuring accountability & transparency,Economic Empowerment,Other"
518,Peace Building Results,"49% have experienced land conflicts in their communities. U-reporter in Mbale says, ""Inter tribal Land disputes hv led 2 bloody clashes, loss of lives&property""",""
516,RC poll,From the RC office: What can you do in your job to work closer together with other UN agencies and help promote DaO? ,""
524,Peace Building Results 2,71% of U-reporters agree; conflict is best solved with local leaders. Solving conflict on a local level has been proven in other countries 2b the best solution!,""
522,CODES SSI BUKUNJA,CODES ekulamusizako nate! Wetaba mu kunyumyako e Ssi Bukunja omwaka oguwedde. Mwakunganya obuyambi obumala okufuna ekifo kyeddwaliro mu Ssi? Damu Y-Yee; N-Nedda,"yes,no,unknown"
521,WB-UPPET teachers,Hello U-reporter! The school where you teach received textbooks. Have you used these textbooks to teach in class in the last 5 days? Please reply with Yes or No,"yes,no,unknown"
520,WB-UPPET parents,The school where your child studies received textbooks. Has your child borrowed any textbooks from school to use at home in the last 5 days? Reply with Yes/No ,"yes,no,unknown"
525,Breastfeeding ,Should an HIV positive mother breastfeed her newly born baby? Kindly reply with Yes or No and why,"yes,no,unknown"
542,WB-uppet students  WK2 results,"Thank you again for your response. Last week, 44% of students said they borrowed textbooks from school to be used at home and 53% said they did not.


",""
541,WB UPPET teachers WK2 results,"Thank you again for your response. Last week, 68% of teachers said they assigned homework from textbooks to students and 21% said they did not.",""
540,WB-uppet parents WK2 results,Thank you again for your response. Last week 30% of parents said their children used science kits/tools at school and 64% said they did not.,""
545,CODES bukakata,CODES ekulamusiza nate! Twanyumyako e Kabasese B omwezi gw'okubiiri. Mwemulugunya emperezza y'abasawo ku ddwaliro e Bukoto. Waliwo enkyuka? Damu Y-Yee; N-Nedda,"yes,no,unknown"
547,Delegate  2013 followup,The U-report conference is on 12/08/2013.Transport will be at YWCA behind CPS to take u to Bunga. Arrival date is 11/8/2013 from 2 to 6pm.Helpline:0752442485,""
537,CODES Kyanamukaka,CODES ekulamusiza nate! Twanyumyako wamu e Kyanamukaka omwezi gw'okubiiri. Mweyama Bulungi Bwansi okutumbula obuyonjo mubyalo. Byo mubikola? Damu Y-Yee; N-Nedda,"yes,no,unknown"
544,MP poll request,"Dear Hon. If u have a qn related to child/youth or vulnerable women you'd want to poll ur constituency on, kindly text it to 8500. All SMSs are free! From UPFC",""
539,MICS TR invite,"U-reporter! You have been selected 2 support data collection survey; Training is tomorrow 1st Aug 8am at UNICEF Office Kampala, please confirm by sending Y or N","yes,no,unknown"
543,FHDs k'la poll #2,"Dear change maker! Did you or your family take part in Family Health Days last month? Answer with YES or NO. If NO, please tell us why not? U-report","yes,no,unknown"
599,Polio,"U-reporters, we are wondering; Do you know the dates for the upcoming polio campaign?  A) 21st to 23rd Sept  B) 28th to 30th Sept  or C) Don't know","A),B),C),Other"
536,Microfinance centre,"Do u know any Managers of Government funded Microfinance SACCOs in ur community who've run away with member's money? Reply YES/NO, if YES please give their name","yes,no,unknown"
535,Delegate Conference 2013,"You have been chosen 2 attend the U-report conference on 12/08/2013 in K'la.Transport, accommodation & meals will be provided. Will U make it? Reply with Yes/No","yes,no,unknown"
548,MICS Conference,U’re one of the 31 delegates selected to participate in a two day orientation for the village level survey after the U-report conference. Please confirm,""
546,WB UPPET students 3,Hello U-reporter! Did you use science kits/tools in school last term? Please reply with Yes or No,"yes,no,unknown"
558,Youth Day Results,Youth are talking of being job creators not seekers.We shd set up income generating activities like brick making & form groups 2 access loans.Ureporter Ntungamo,""
560,Sim reg Aug,"Sim registration deadline is fast approaching, dial *197# to check your registration status. Registration is FREE of charge, don't let people charge you",""
